ID	chrom	loc.start	loc.end	seg	num.mark	nhet	cnlr.median	mafR	segclust	cnlr.median.clust	mafR.clust	cf	tcn	lcn	cf.em	tcn.em	lcn.em
Proj_5200_G_s_SCB_61T_s_SCB_61N	1	762061	249239800	1	47749	2936	0.094192041360643	0.0204955965188581	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	2	41550	77749250	2	11655	743	0.146217283826652	1.02094491506392	28	0.160586066634423	0.978356548635105	0.86914281828787	4	1	0.854408834104923	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	2	77749450	143993731	3	7009	404	-0.239893326048061	0.374841239625396	14	-0.213867708751874	0.394863367300931	0.86914281828787	3	1	0.86914281828787	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	2	144008052	212589700	4	10661	469	-0.194807420864037	0.391012552658975	14	-0.213867708751874	0.394863367300931	0.86914281828787	3	1	0.86914281828787	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	2	212589894	242946700	5	6540	421	-0.230333979958357	0.408778695593818	14	-0.213867708751874	0.394863367300931	0.86914281828787	3	1	0.86914281828787	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	3	239347	48820465	6	8477	602	-0.733992224345609	0.0181285283917066	6	-0.736867608526704	0.0181285283917066	1	2	1	NA	2	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	3	48820545	197847416	7	20678	1317	-0.206882579596298	0.400350999067456	14	-0.213867708751874	0.394863367300931	0.86914281828787	3	1	0.86914281828787	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	4	49846	37358100	8	4231	336	-0.284488542149166	0.528805197476239	12	-0.298766994795229	0.533420681062003	0.86914281828787	3	1	0.714655607457331	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	4	37432150	57843684	9	2631	196	-0.208693068924801	0.361991344534046	14	-0.213867708751874	0.394863367300931	0.86914281828787	3	1	0.86914281828787	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	4	57843803	64217100	10	145	19	-0.245909695848222	0.744471272781134	17	-0.213867708751874	NA	0.86914281828787	3	NA	0.771067421908721	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	4	65142650	68202085	11	86	11	-1.58615527294549	4.18250659073022	1	-1.58615527294549	NA	0.86914281828787	1	NA	0.86914281828787	1	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	4	68202200	190903938	12	12563	800	-0.226846243870946	0.398591653920154	14	-0.213867708751874	0.394863367300931	0.86914281828787	3	1	0.86914281828787	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	5	140532	41731700	13	4029	326	0.740792949097317	0.553482087940551	39	0.740792949097317	0.553482087940551	0.86914281828787	6	2	0.86914281828787	6	2
